name,artist,album,release_date,duration_ms,id,played_at,play_count
1/1440,HEIZE,Lyricist,6/10/2020,184026,15F7ASF4Q4JjoyxOv6irVP,2021-10-09T15:33:41.036Z,0
Savior (feat. B.I),LeeHi,4 ONLY,9/9/2021,215560,0DYvTdqBqW6erA1a7pFzVo,2021-10-09T15:37:55.164Z,0
Safety Zone,LeeHi,4 ONLY,9/9/2021,248093,4yUrkvM634vJTljUN9gDxV,2021-10-09T15:42:01.092Z,0
No Reason,HEIZE,She's Fine,3/19/2019,211425,05YyMLG9IWrGrzBIa2doYu,2021-10-09T15:45:30.153Z,0
DAUM,HEIZE,Late Autumn,10/13/2019,227080,3dTz4jd3DGuqGLQyPtGyEE,2021-10-09T15:49:15.142Z,0
"Hi, hello?",HEIZE,HAPPEN,5/20/2021,248773,71zma1WRfDRYHxI5SBM0jb,2021-10-09T15:57:22.131Z,0
Diary,HEIZE,Late Autumn,10/13/2019,250186,2zAcVe9SPjEps2M087r9P6,2021-10-09T16:01:30.015Z,0
Waterride,LeeHi,4 ONLY,9/9/2021,184146,7JXNH2xnA23vsGasejVfWr,2021-10-09T16:04:32.020Z,0
HOLD MY HAND,LeeHi,SEOULITE,3/9/2016,218826,7bwSMCwF2C4cK2W97H6oCA,2021-10-09T16:08:08.007Z,0
"You, Clouds, Rain",HEIZE,"/// (You, Clouds, Rain)",6/26/2017,205312,6FZAc2XaVYc8G8jaDnBshv,2021-10-09T16:11:31.168Z,0
1/1440,HEIZE,Lyricist,6/10/2020,184026,15F7ASF4Q4JjoyxOv6irVP,2021-10-09T16:14:33.055Z,0
Love Distance (Feat. Heize) (Prod. dress),Jooyoung,Love Distance,7/3/2020,212960,2UfAY1qmaIF8KquwbMDTNI,2021-10-09T16:18:04.136Z,0
H.S.K.T. (feat. Wonstein),LeeHi,4 ONLY,9/9/2021,204453,39382sUtIOwIXftX0i76do,2021-10-09T16:21:26.021Z,0
Like the first time (Feat. Gary),HEIZE,HAPPEN,5/20/2021,198026,627R8FsZQCSyExWyMDrdcw,2021-10-09T16:24:42.073Z,0
Falling Leaves are Beautiful,HEIZE,Late Autumn,10/13/2019,202933,7sNPQxJLeBNOQY1pEDZl1K,2021-10-09T16:28:03.162Z,0
Red Lipstick (feat. Yoonmirae),LeeHi,4 ONLY,9/9/2021,187320,7nJc2Oxfn7xRX3eF4hltyl,2021-10-09T16:31:08.140Z,0
Being Freezed,HEIZE,Late Autumn,10/13/2019,213480,5NAWVTxbT6uhz5nBSN50jK,2021-10-09T16:37:36.138Z,0
Savior (feat. B.I),LeeHi,4 ONLY,9/9/2021,215560,0DYvTdqBqW6erA1a7pFzVo,2021-10-09T16:41:09.077Z,0
Safety Zone,LeeHi,4 ONLY,9/9/2021,248093,4yUrkvM634vJTljUN9gDxV,2021-10-09T16:45:15.009Z,0
No Reason,HEIZE,She's Fine,3/19/2019,211425,05YyMLG9IWrGrzBIa2doYu,2021-10-09T16:48:44.124Z,0
DAUM,HEIZE,Late Autumn,10/13/2019,227080,3dTz4jd3DGuqGLQyPtGyEE,2021-10-09T16:52:29.070Z,0
"Hi, hello?",HEIZE,HAPPEN,5/20/2021,248773,71zma1WRfDRYHxI5SBM0jb,2021-10-09T17:00:36.151Z,0
Diary,HEIZE,Late Autumn,10/13/2019,250186,2zAcVe9SPjEps2M087r9P6,2021-10-09T17:04:43.977Z,0
Waterride,LeeHi,4 ONLY,9/9/2021,184146,7JXNH2xnA23vsGasejVfWr,2021-10-09T17:07:46.015Z,0
HOLD MY HAND,LeeHi,SEOULITE,3/9/2016,218826,7bwSMCwF2C4cK2W97H6oCA,2021-10-09T17:11:22.028Z,0
"You, Clouds, Rain",HEIZE,"/// (You, Clouds, Rain)",6/26/2017,205312,6FZAc2XaVYc8G8jaDnBshv,2021-10-09T17:14:45.135Z,0
1/1440,HEIZE,Lyricist,6/10/2020,184026,15F7ASF4Q4JjoyxOv6irVP,2021-10-09T17:17:47.036Z,0
Love Distance (Feat. Heize) (Prod. dress),Jooyoung,Love Distance,7/3/2020,212960,2UfAY1qmaIF8KquwbMDTNI,2021-10-09T17:21:18.198Z,0
H.S.K.T. (feat. Wonstein),LeeHi,4 ONLY,9/9/2021,204453,39382sUtIOwIXftX0i76do,2021-10-09T17:24:39.986Z,0
Like the first time (Feat. Gary),HEIZE,HAPPEN,5/20/2021,198026,627R8FsZQCSyExWyMDrdcw,2021-10-09T17:27:56.034Z,0
Falling Leaves are Beautiful,HEIZE,Late Autumn,10/13/2019,202933,7sNPQxJLeBNOQY1pEDZl1K,2021-10-09T17:31:17.150Z,0
Red Lipstick (feat. Yoonmirae),LeeHi,4 ONLY,9/9/2021,187320,7nJc2Oxfn7xRX3eF4hltyl,2021-10-09T17:34:22.179Z,0
Being Freezed,HEIZE,Late Autumn,10/13/2019,213480,5NAWVTxbT6uhz5nBSN50jK,2021-10-09T17:40:50.109Z,0
Savior (feat. B.I),LeeHi,4 ONLY,9/9/2021,215560,0DYvTdqBqW6erA1a7pFzVo,2021-10-09T17:44:23.153Z,0
Safety Zone,LeeHi,4 ONLY,9/9/2021,248093,4yUrkvM634vJTljUN9gDxV,2021-10-09T17:48:29.041Z,0
No Reason,HEIZE,She's Fine,3/19/2019,211425,05YyMLG9IWrGrzBIa2doYu,2021-10-09T17:51:58.201Z,0
DAUM,HEIZE,Late Autumn,10/13/2019,227080,3dTz4jd3DGuqGLQyPtGyEE,2021-10-09T17:55:43.121Z,0
"Hi, hello?",HEIZE,HAPPEN,5/20/2021,248773,71zma1WRfDRYHxI5SBM0jb,2021-10-09T18:03:50.156Z,0
Diary,HEIZE,Late Autumn,10/13/2019,250186,2zAcVe9SPjEps2M087r9P6,2021-10-09T18:07:58.014Z,0
Waterride,LeeHi,4 ONLY,9/9/2021,184146,7JXNH2xnA23vsGasejVfWr,2021-10-09T18:10:59.852Z,0
HOLD MY HAND,LeeHi,SEOULITE,3/9/2016,218826,7bwSMCwF2C4cK2W97H6oCA,2021-10-09T18:14:36.026Z,0
"You, Clouds, Rain",HEIZE,"/// (You, Clouds, Rain)",6/26/2017,205312,6FZAc2XaVYc8G8jaDnBshv,2021-10-09T18:18:00.165Z,0
1/1440,HEIZE,Lyricist,6/10/2020,184026,15F7ASF4Q4JjoyxOv6irVP,2021-10-09T18:21:01.445Z,0
Love Distance (Feat. Heize) (Prod. dress),Jooyoung,Love Distance,7/3/2020,212960,2UfAY1qmaIF8KquwbMDTNI,2021-10-09T18:24:32.148Z,0
H.S.K.T. (feat. Wonstein),LeeHi,4 ONLY,9/9/2021,204453,39382sUtIOwIXftX0i76do,2021-10-09T18:27:54.024Z,0
Like the first time (Feat. Gary),HEIZE,HAPPEN,5/20/2021,198026,627R8FsZQCSyExWyMDrdcw,2021-10-09T18:31:09.998Z,0
Falling Leaves are Beautiful,HEIZE,Late Autumn,10/13/2019,202933,7sNPQxJLeBNOQY1pEDZl1K,2021-10-09T18:34:31.156Z,0
Red Lipstick (feat. Yoonmirae),LeeHi,4 ONLY,9/9/2021,187320,7nJc2Oxfn7xRX3eF4hltyl,2021-10-09T18:37:36.041Z,0
Being Freezed,HEIZE,Late Autumn,10/13/2019,213480,5NAWVTxbT6uhz5nBSN50jK,2021-10-09T18:44:04.091Z,0
Savior (feat. B.I),LeeHi,4 ONLY,9/9/2021,215560,0DYvTdqBqW6erA1a7pFzVo,2021-10-09T18:47:37.111Z,0
Safety Zone,LeeHi,4 ONLY,9/9/2021,248093,4yUrkvM634vJTljUN9gDxV,2021-10-09T18:51:42.931Z,0
No Reason,HEIZE,She's Fine,3/19/2019,211425,05YyMLG9IWrGrzBIa2doYu,2021-10-09T18:55:12.065Z,0
DAUM,HEIZE,Late Autumn,10/13/2019,227080,3dTz4jd3DGuqGLQyPtGyEE,2021-10-09T18:58:57.109Z,0
"Hi, hello?",HEIZE,HAPPEN,5/20/2021,248773,71zma1WRfDRYHxI5SBM0jb,2021-10-09T19:07:04.120Z,0
Diary,HEIZE,Late Autumn,10/13/2019,250186,2zAcVe9SPjEps2M087r9P6,2021-10-09T19:11:12.036Z,0
