name,artist,album,release_date,duration_ms,id,play_count
sweet decay 부패,Chasu,bury me instead,2021-07-07,200427,3hFQrbW6FUGYjfYG3Xsr1q,1
Paddlepop,Barrett Marshall,Paddlepop,2020-10-23,187000,5F3It9pr2kHad7nQLhcvlq,1
Nikes,Nimstarr,Nikes,2021-02-12,139910,65ha6jDdEeQ05hbiDeSUjT,2
who do you love,MICO,21st century heartbreak EP,2020-07-30,173209,6mtDznnB2SDHJHCACDyXz5,0
Someone New,Ok2222,Someone New,2019-12-13,160500,7bFWaXKr9DA5pZioUJzUsg,1
"caffeine and dopamine, Pt. 2",Aleebi,"caffeine and dopamine, Pt. 2",2020-05-13,192000,6ASyqeVYclu3dVSTPDRjZG,1
"she likes spring, I prefer winter",slchld,"my insecurities, not yours",2019-03-01,207435,2sFF0K2eHIClZYUqIbAwdb,0
POP OUT,Benjamin Earl Turner,SELLING AIR,2021-08-07,197550,2TIlcI6KmuRysgNszwUWde,1
War With Heaven,keshi,Shang-Chi and The Legend of The Ten Rings: The Album,2021-09-03,193373,14gmLQPNYokqB8OKxAp69f,1
Pain,PinkPantheress,Pain,2021-06-07,98544,7CIERzyqIwLVKGp00YbHRO,1
Passion,PinkPantheress,Passion,2021-07-01,138268,6ZJqCviTotiIujl1rfcL53,1
Toroka,Christian Kuria,Toroka,2020-10-21,202075,6RMltEudPPFoJuUoshxRBB,1
