name,artist,album,release_date,duration_ms
Drugs,Kevin Abstract,Mtv1987,2015-12-25,412969
Slide (feat. Frank Ocean & Migos),Calvin Harris,Slide (feat. Frank Ocean & Migos),2017-02-24,230813
Degas Park,Kevin Abstract,Mtv1987,2015-12-25,260937
Camp Green Lake,Kevin Abstract,Mtv1987,2015-12-25,290429
SUMMER,BROCKHAMPTON,SATURATION II,2017-08-25,204939
The Ways (with Swae Lee),Khalid,Black Panther The Album Music From And Inspired By,2018-02-09,238893
LOVE. FEAT. ZACARI.,Kendrick Lamar,DAMN.,2017-04-14,213400
Nights,Frank Ocean,Blonde,2016-08-20,307151
SUGAR,BROCKHAMPTON,GINGER,2019-08-23,204533
DEARLY DEPARTED,BROCKHAMPTON,GINGER,2019-08-23,280000
PURPLE TUESDAY (feat. Joey Bada$$ & Jesse Boykins III),Rejjie Snow,The Moon & You,2017-05-17,290333
1539 N. Calvert,JPEGMAFIA,Veteran,2018-01-19,157258
HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,JACKBOYS,2019-12-27,244873
In My Room,Frank Ocean,In My Room,2019-11-02,133680
Glitter,"Tyler, The Creator",Flower Boy,2017-07-21,224893
LOVE ME FOR LIFE,BROCKHAMPTON,GINGER,2019-08-23,215013
BEST INTEREST,"Tyler, The Creator",BEST INTEREST,2020-01-25,127921
Self Control,Frank Ocean,Blonde,2016-08-20,249667
Crack Rock,Frank Ocean,channel ORANGE,2012-07-10,224146
Chum,Earl Sweatshirt,Doris,2013-08-16,243773
A BOY IS A GUN*,"Tyler, The Creator",IGOR,2019-05-17,210253
BALD! REMIX,JPEGMAFIA,BALD! REMIX,2020-05-05,153127
Boredom (feat. Rex Orange County & Anna of the North),"Tyler, The Creator",Flower Boy,2017-07-21,320720
ACID TRIP,Rejjie Snow,The Moon & You,2017-05-17,188293
20 Min,Lil Uzi Vert,Luv Is Rage 2 (Deluxe),2017-11-17,220586
Long Time - Intro,Playboi Carti,Die Lit,2018-05-11,211773
Only One,Gallant,Our Beloved BoA #3 - SM STATION,2020-08-14,208120
Purity (feat. Frank Ocean),A$AP Rocky,TESTING,2018-05-25,262360
"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",A$AP Ferg,Floor Seats,2019-08-16,222986
RENTAL,BROCKHAMPTON,SATURATION III,2017-12-15,213658
Homegirl (feat. Smino & Topaz Jones),Leven Kali,Homegirl (feat. Smino & Topaz Jones),2019-12-11,286073
Heartbreak Anniversary,Giveon,TAKE TIME,2020-03-27,198370
INFATUATION,BROCKHAMPTON,ALL-AMERICAN TRASH,2016-04-11,181577
December,IDK,Is He Real?,2019-09-04,210663
EARFQUAKE,"Tyler, The Creator",IGOR,2019-05-17,190066
I. Pink Toes,Childish Gambino,because the internet,2013-01-01,207066
The Weekend - Funk Wav Remix,SZA,The Weekend (Funk Wav Remix),2017-12-15,171805
Plus,Peach Tree Rascals,Plus,2019-02-07,272718
CYANIDE,Daniel Caesar,CASE STUDY 01,2019-06-28,194959
The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,Luv Is Rage 2,2017-08-25,221746
"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)",A$AP Mob,"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)",2017-05-22,255413
Where This Flower Blooms (feat. Frank Ocean),"Tyler, The Creator",Flower Boy,2017-07-21,194933
Figaro,Madvillain,Madvillainy,2004-03-24,145706
Anita,Smino,blkswn,2017-03-14,236790
Just Friends (Sunny),Musiq Soulchild,Aijuswanaseing,2000-01-01,251426
In the Room: Cruisin',Gallant,In the Room,2018-08-10,210651
PRIDE.,Kendrick Lamar,DAMN.,2017-04-14,275253
Day 'N' Nite (nightmare),Kid Cudi,Man On The Moon: The End Of Day,2009-09-15,221266
"BYF (feat. A$AP Rocky, A$AP Ant & Smooky MarGielaa)",A$AP Mob,Cozy Tapes Vol. 2: Too Cozy,2017-08-25,174626
Mrs. Officer,Lil Wayne,Tha Carter III,2008-06-10,286906
Stay,Post Malone,beerbongs & bentleys,2018-04-27,204426
RUNNING OUT OF TIME,"Tyler, The Creator",IGOR,2019-05-17,177226
Back of My Mind,Trippie Redd,A Love Letter To You 2,2017-10-06,286120
treatheright,Knxwledge,"10,000 Proof",2020-06-22,108535
Pursuit Of Happiness (Nightmare),Kid Cudi,Man On The Moon: The End Of Day,2009-09-15,295293
Lady,D'Angelo,Brown Sugar,1995-07-03,346266
Rhymes Like Dimes,MF DOOM,Operation: Doomsday (Complete),1999-04-20,258613
Suede,NxWorries,Yes Lawd!,2016-10-21,174866
Jstfriends,Knxwledge,"Musiq, Pt. 1",2019-06-25,240039
911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),"Tyler, The Creator",Who Dat Boy / 911,2017-06-30,255653
Skyline To,Frank Ocean,Blonde,2016-08-20,184600
Pilot Jones,Frank Ocean,channel ORANGE (Explicit Version),2012-07-10,184080
Sweet Life,Frank Ocean,channel ORANGE (Explicit Version),2012-07-10,262680
Meat Grinder,Madvillain,Madvillainy,2004-03-24,131866
Kids Turned Out Fine,A$AP Rocky,TESTING,2018-05-25,183120
Tony Tone,A$AP Rocky,TESTING,2018-05-25,208373
Solo,Frank Ocean,Blonde,2016-08-20,257380
Another Time,NxWorries,Yes Lawd!,2016-10-21,147573
"Something to Rap About (feat. Tyler, The Creator)",Freddie Gibbs,Alfredo,2020-05-29,282560
Heart Don't Stand a Chance,Anderson .Paak,Malibu,2016-01-15,312360
Love Galore (feat. Travis Scott),SZA,Ctrl,2017-06-09,275080
Doves In The Wind (feat. Kendrick Lamar),SZA,Ctrl,2017-06-09,266080
Reborn,KIDS SEE GHOSTS,KIDS SEE GHOSTS,2018-06-08,324674
Super Rich Kids,Frank Ocean,channel ORANGE,2012-07-10,304760
All Caps,Madvillain,Madvillainy,2004-03-24,130479
Analog,"Tyler, The Creator",Goblin,2011-05-09,174400
Freefall,KAYTRANADA,BUBBA,2019-12-13,181160
Leave The Door Open,Bruno Mars,Leave The Door Open,2021-03-05,242096
See You Again (feat. Kali Uchis),"Tyler, The Creator",Flower Boy,2017-07-21,180386
BUZZCUT (feat. Danny Brown),BROCKHAMPTON,BUZZCUT (feat. Danny Brown),2021-03-25,201160
COUNT ON ME,BROCKHAMPTON,COUNT ON ME,2021-04-01,155200
